"outside DHZW","2531","2532","2533","2541","2542","2543","2544","2545","2546","hh_PC4"
0.375,0,0.25,0.125,0.125,0.125,0,0,0,0,2531
0.333333333333333,0,0.444444444444444,0.111111111111111,0,0,0,0,0.111111111111111,0,2532
0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,2533
0.625,0,0,0,0,0,0,0.375,0,0,2541
0.5,0,0,0.166666666666667,0.0833333333333333,0.166666666666667,0,0,0.0833333333333333,0,2542
0.428571428571429,0,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0,0,0,2543
0.416666666666667,0,0,0.0833333333333333,0,0,0,0.5,0,0,2544
0.666666666666667,0,0,0,0.0555555555555556,0,0,0.0555555555555556,0.222222222222222,0,2545
0.5,0,0,0.142857142857143,0,0,0,0.0714285714285714,0,0.285714285714286,2546
